Company,Group,Change
"Capri Global Capital","A","+  19.98"
"Westlife Foodworld","A","+  11.11"
"Five-Star Business F","A","+   9.96"
"Orient Green Power C","A","+   9.79"
"Dilip Buildcon Ltd.","A","+   9.68"
"Sudarshan Chem.","A","+   9.16"
"G R Infraprojects","A","+   8.93"
"Jaiprakash Power Ven","A","+   8.81"
"JM Financial Ltd.","A","+   8.49"
"IIFL Finance","A","+   8.16"
"MCX","A","+   7.35"
"Bandhan Bank","A","+   7.20"
"Edelweiss Fin. Ser","A","+   7.05"
"Oriental Carbon","B","+  20.00"
"Somany Ceramics Ltd.","B","+  20.00"
"HB Stockholding","B","+  20.00"
"Hybrid Financial Ser","B","+  19.99"
"GOCL Corporation","B","+  19.99"
"Indef Manufacturing","B","+  19.99"
"Creative Eye","B","+  19.93"
"Orient Bell","B","+  15.03"
"Motisons Jewellers","B","+  14.84"
"OCCL Ltd.","B","+  14.33"
"Maithan Alloys Ltd.","B","+  12.37"
"AVG Logistics","B","+  12.31"
"Balu Forge Industrie","B","+  11.92"
"TVS Electronics","B","+  11.69"
"Selan Exploratio","B","+  11.26"
"BEML Land Assets","B","+  11.16"
"Digicontent","B","+  10.50"
"Krebs Biochemicals &","B","+  10.01"
"Regency Ceramics","B","+   9.99"
"Nila Spaces L","B","+   9.97"
"Infomedia Press","B","+   9.93"
"GACM Technologies","B","+   9.80"
"D-Link (India)","B","+   9.65"
"R Systems Internat.","B","+   9.55"
"Roto Pumps Ltd","B","+   9.20"
"Malu Paper Mills","B","+   9.16"
"Hercules Hoists","B","+   9.06"
"Williamson Magor","B","+   8.97"
"Meera Industries","B","+   8.92"
"Onward Technolog","B","+   8.91"
"SPML Infra","B","+   8.37"
"Windsor Machines","B","+   8.31"
"Urja Global","B","+   8.22"
"Quadrant Future Tek","B","+   8.17"
"Pil Italica Lifestyl","B","+   8.02"
"Arman Financial Serv","B","+   7.90"
"Sprayking L","B","+   7.68"
"N R Agarwal Indu","B","+   7.46"
"Skipper Ltd.","B","+   7.23"
"Kokuyo Camlin","B","+   7.23"
"SJS Enterprises","B","+   7.18"
