Company,Group,Change
Capri Global Capital,A,+  19.52
Coffee Day Enterpris,A,+   9.99
Westlife Foodworld,A,+   9.81
Dilip Buildcon Ltd.,A,+   9.55
Five-Star Business F,A,+   9.50
Sudarshan Chem.,A,+   9.45
Orient Green Power C,A,+   9.41
Jaiprakash Power Ven,A,+   9.24
JM Financial Ltd.,A,+   8.87
G R Infraprojects,A,+   8.85
IIFL Finance,A,+   8.05
Cera Sanitaryware L,A,+   7.69
Edelweiss Fin. Ser,A,+   7.43
Bandhan Bank,A,+   7.23
MCX,A,+   7.22
Time Technoplast Ltd,A,+   7.16
Manappuram Finance,A,+   6.93
Electrosteel Cas,A,+   6.90
RattanIndia Power,A,+   6.70
Mahanagar Gas,A,+   6.55
Jindal Saw,A,+   6.38
Fusion Finance,A,+   6.22
TARC,A,+   6.03
RBL Bank,A,+   5.86
Electronics Mart Ind,A,+   5.47
Whirlpool of Ind,A,+   5.36
CSB Bank,A,+   5.24
Praj Industries,A,+   5.24
Kirloskar Oil Engine,A,+   4.92
RattanIndia Enterp,A,+   4.89
Greaves Cotton,A,+   4.85
Hyundai Motor India,A,+   4.84
Indian Renewable,A,+   4.83
TeamLease Service,A,+   4.80
Coromandel Internati,A,+   4.80
Reliance Power L,A,+   4.74
Happiest Minds Tech,A,+   4.74
Aditya Birla Real,A,+   4.67
Jain Irrigation,A,+   4.62
Mahindra Lifespace D,A,+   4.61
Hind. Zinc,A,+   4.57
Indo Count Inds.,A,+   4.56
Concord Biotech Ltd.,A,+   4.40
South Indian Ban,A,+   4.39
JSW Infrastructure,A,+   4.38
Techno Electric&Eng,A,+   4.34
JBM Auto,A,+   4.31
VIP Indus.,A,+   4.27
Samhi Hotels,A,+   4.23
JK Tyre & Industries,A,+   4.19
Oracle Financial Ser,A,+   4.16
InterGlobe Aviation,A,+   4.08
Bank of India,A,+   4.02
UTI AMC,A,+   3.96
Muthoot Finance,A,+   3.94
Zensar Technologies,A,+   3.90
Texmaco Rail & Engin,A,+   3.88
Laurus Labs,A,+   3.86
Aptus Value Housing,A,+   3.84
Amber Enterprises,A,+   3.82
Arvind Fashions,A,+   3.82
Metropolis Healthcar,A,+   3.76
Affle 3I,A,+   3.75
West Coast Paper,A,+   3.66
Bharat Forge,A,+   3.65
