Company,Group,Change
SEPC Ltd,A,-6.46
Orient Cement Ltd.,A,-6.44
Avantel Ltd.,A,-5.84
Cochin Shipyard,A,-3.78
BLS International Se,A,-3.72
Data Patterns (India,A,-3.48
Zen Technologies Ltd,A,-3.33
Force Motors,A,-2.95
Sunflag Iron,A,-2.75
Cohance Lifesciences,A,-2.73
Medplus Health Serv,A,-2.63
Nuvoco Vistas Corp,A,-2.61
Neuland Laborat,A,-2.56
Vesuvius India,A,-2.37
Saregama India Ltd.,A,-2.25
Paras Defence,A,-2.22
Campus Activewear,A,-2.21
Kalyan Jewellers Ind,A,-2.10
Caplin Point Lab,A,-2.06
APL Apollo Tubes,A,-2.02
Acutaas Chemicals,A,-2.01
Vedant Fashions,A,-2.01
JK Cement,A,-1.99
Netweb Technologies,A,-1.99
Eternal,A,-1.95
Brigade Enterprises,A,-1.85
Century Plyboards,A,-1.79
Gravita India Ltd.,A,-1.77
Berger Paints I,A,-1.75
R R Kabel,A,-1.72
Pfizer Ltd.,A,-1.72
Suprajit Enginee,A,-1.70
ICICI Bank,A,-1.68
Global Health,A,-1.66
Welspun Corp,A,-1.58
PTC Industries,A,-1.57
Aster DM Healthcare,A,-1.56
J B Chemicals & Phar,A,-1.55
Home First Finance,A,-1.54
Kaynes Technology In,A,-1.45
Sobha,A,-1.32
Star Cement,A,-1.31
KPR Mill Ltd.,A,-1.25
Sapphire Foods India,A,-1.25
Mishra Dhatu Nig,A,-1.22
Intellect Design,A,-1.22
Mrs. Bectors Food Sp,A,-1.20
Elecon Engg.,A,-1.18
Relaxo Footwears,A,-1.17
Schaeffler India,A,-1.16
LT Foods Ltd.,A,-1.15
Kirloskar Ferrou,A,-1.13
DCX Systems,A,-1.12
Container Corpor,A,-1.09
Kirloskar Pneumatic,A,-1.06
Schneider Electric,A,-1.05
Mastek Li,A,-1.05
Mazagon Dock Ship,A,-1.02
Steel Authority,A,-1.00
Blue Star,A,-1.00
Craftsman Automation,A,-0.97
Tega Industries,A,-0.93
ideaForge Technology,A,-0.93
Vijaya Diagnostic,A,-0.93
TTK Prestige L,A,-0.92
Gabriel India,A,-0.89
SBFC Finance,A,-0.87
Emami,A,-0.87
MRF Ltd,A,-0.86
Krishna Institute,A,-0.86
Shriram Properties,A,-0.85
GlaxoSmithKline Phar,A,-0.84
PCBL Chemical,A,-0.84
Religare Enterprises,A,-0.80
Kaveri Seed Company,A,-0.79
Salasar Techno Engin,A,-0.78
Grindwell Norton,A,-0.75
KPI Green Energy,A,-0.75
Titan Company,A,-0.74
Dodla Dairy,A,-0.74
Star Health & Allied,A,-0.73
UPL,A,-0.71
Supreme Petroche,A,-0.71
Fine Organic Indus,A,-0.70
Avanti Feeds,A,-0.70
Asahi India Glass,A,-0.69
Voltamp Transformers,A,-0.68
BEML Ltd.,A,-0.67
National Alumini,A,-0.66
Borosil Renewables,A,-0.66
RHI Magnesita India,A,-0.65
Mahindra Holidays,A,-0.62
Welspun Enterprises,A,-0.61
BayerCropscience,A,-0.59
Tube Investments,A,-0.59
PG Electroplast Ltd.,A,-0.59
MTNL,A,-0.58
Tejas Networks,A,-0.58
Hitachi Energy India,A,-0.57
PB Fintech,A,-0.57
Sterlite Technologie,A,-0.57
Cyient DLM,A,-0.56
Gujarat Gas,A,-0.55
Patanjali Foods,A,-0.54
Gillette India,A,-0.53
Navin Fluorine Inter,A,-0.53
Mahi. & Mahi,A,-0.52
Aditya Birla Fashion,A,-0.51
Avenue Supermarts,A,-0.51
Prestige Estates Pro,A,-0.49
HBL Engineering,A,-0.48
Cyient Ltd.,A,-0.47
Valor Estate,A,-0.46
TVS Holdings,A,-0.46
Angel One,A,-0.45
Prince Pipes & Fitti,A,-0.45
Deepak Fertilisers,A,-0.44
Juniper Hotels,A,-0.44
Vaibhav Global,A,-0.41
Sanofi India,A,-0.39
EID Parry,A,-0.36
KRBL Ltd.,A,-0.36
Eicher Motors,A,-0.34
Rolex Rings,A,-0.33
SJVN Ltd.,A,-0.32
Repco Home Finance L,A,-0.32
DOMS Industries,A,-0.32
Adani Ports & Speci,A,-0.30
Oberoi Realty,A,-0.27
India Cements Lt,A,-0.26
Lupin Ltd.,A,-0.26
Genus Power Infrastr,A,-0.25
NIIT Learning System,A,-0.25
Macrotech Developers,A,-0.24
Astra Microwave,A,-0.23
Polyplex Corpn.,A,-0.23
SKF India,A,-0.22
Godrej Industries Lt,A,-0.21
DCB Bank,A,-0.20
Metro Brands,A,-0.20
ICICI Pru Life,A,-0.19
Jubilant Ingrevia,A,-0.18
Aurobindo Pharma,A,-0.17
DLF Ltd.,A,-0.17
PVR INOX,A,-0.17
United Spirits,A,-0.17
Rainbow Childrens,A,-0.16
Quess Corp,A,-0.16
