Company,Group,Change
Sika Interplant,B,-9.90
Punj. Communica,B,-6.95
Madhucon Project,B,-6.02
NDR Auto Components,B,-5.32
Cupid Ltd.,B,-5.23
Shilchar Technologie,B,-4.73
Deccan Gold Mines,B,-4.60
Spectrum Electrical,B,-4.40
Pearl Global Industr,B,-4.38
Naksh Precious Metal,B,-4.34
SoftTech Engineers,B,-4.33
Narmada Agrobase,B,-4.25
Ravinder Heights,B,-4.19
Kingfa Science & Tec,B,-4.15
Parsvnath Developers,B,-4.13
Hexa Tradex Ltd.,B,-3.97
Unimech Aerospace,B,-3.65
Universus Photo Imag,B,-3.31
Avro India,B,-3.29
Precision Camshafts,B,-3.10
Racl Geartech,B,-3.07
Lords Chloro Alkali,B,-2.90
Dynamic Cables,B,-2.80
Natural Capsules,B,-2.76
AION-TECH Solutions,B,-2.76
Ambica Agarbathi,B,-2.74
Swiggy L,B,-2.74
Apollo Micro Systems,B,-2.73
Sadbhav Infrastructu,B,-2.71
Goldiam Internat,B,-2.70
KDDL Ltd.,B,-2.67
John Cockerill India,B,-2.66
Shree Rama Multi,B,-2.60
Nectar Lifesciences,B,-2.59
Bang Overseas Ltd.,B,-2.58
Eurotex Inds.,B,-2.57
Manomay Tex India,B,-2.56
B L Kashyap & Sons,B,-2.53
Ambika Cotton Mi,B,-2.51
Pearl Polymers,B,-2.50
JHS Svendgaard Retai,B,-2.46
Ind Bank Housing,B,-2.45
Indian Terrain Fashi,B,-2.45
Davangere Sugar,B,-2.44
Hubtown,B,-2.41
SinclairsHotels,B,-2.41
Igarashi Motors Indi,B,-2.40
Andhra Cement,B,-2.28
Dhunseri Tea & Indus,B,-2.25
SG Finserve,B,-2.25
Alicon Castalloy,B,-2.23
Onelife Capital Adv,B,-2.22
Sampann Utpadan Indi,B,-2.18
Indbank Merchant,B,-2.13
Harsha Engineers Int,B,-2.11
Hitech Corporation,B,-2.10
Oil Country Tub.,B,-2.09
Foseco India Lim,B,-2.06
Sportking India,B,-2.00
EPACK Durables,B,-1.99
Kwality Pharmaceutic,B,-1.95
MIC Electronics Ltd.,B,-1.94
Magellanic Cloud,B,-1.94
Ravi Kumar Distiller,B,-1.92
GSS Infotech,B,-1.89
Poddar Pigments,B,-1.89
Nagreeka Exports,B,-1.86
Wonder Electricals,B,-1.86
Gillanders Arbut,B,-1.85
Brainbees Solutions,B,-1.83
Kennametal India,B,-1.83
Mangalam Cement,B,-1.82
BF Investment Ltd.,B,-1.78
Salona Cotspin L,B,-1.78
Rajdarshan Indus,B,-1.76
Pokarna Ltd.,B,-1.76
Jyoti Resins & A,B,-1.75
Man Industries I,B,-1.74
Rubfila Internationa,B,-1.72
Asian Energy Service,B,-1.71
Blue Jet Healthcare,B,-1.71
Indraprastha Med,B,-1.69
Bharti Hexacom,B,-1.69
Rama Steel Tubes,B,-1.67
Maan Aluminium Ltd.,B,-1.64
Remsons Industri,B,-1.63
Trejhara Solutions L,B,-1.63
Atlantaa,B,-1.62
Shiva Texyarn Ltd.,B,-1.60
The Investment Trust,B,-1.60
Ravindra Energy Ltd.,B,-1.58
Fischer Medical Vent,B,-1.53
STL Global Ltd.,B,-1.53
Excel Industries,B,-1.52
Artemis Medicare,B,-1.51
Fiberweb (India),B,-1.51
Shree Ganesh Remedie,B,-1.46
Anmol India,B,-1.46
Bansal Roofing Produ,B,-1.45
TCI Express,B,-1.44
Hind Rectifiers,B,-1.44
Deccan Health Care,B,-1.43
ASK Automotive,B,-1.43
Lorenzini Apparels,B,-1.42
Kakatiya Cement Suga,B,-1.42
Bharat Wire Ropes Lt,B,-1.41
Thomas Scott (India),B,-1.37
Udayshivakumar Infra,B,-1.35
Ultramarine Pig.,B,-1.34
Nakoda Group Of Ind,B,-1.30
Tasty Bite,B,-1.29
Manaksia Coated Meta,B,-1.26
Sanathan Textiles,B,-1.26
Quick Heal Technolog,B,-1.25
EMS L,B,-1.24
Plastiblends Ind,B,-1.23
Raghav Productivity,B,-1.22
Prajay Engineers,B,-1.19
D P Abhushan,B,-1.19
Kiri Industries,B,-1.19
S Chand & Company,B,-1.18
BLB Ltd.,B,-1.15
MPS Ltd.,B,-1.12
HLE Glascoat,B,-1.10
Chaman Lal Setia,B,-1.09
Prime Fresh,B,-1.09
Aditya Birla Money L,B,-1.09
Timex Group India,B,-1.07
Mitsu Chem Plast,B,-1.06
Ceinsys Tech,B,-1.06
Kanoria Chemical,B,-1.03
Yatharth Hospital,B,-1.03
Ruchira Papers Ltd.,B,-1.01
Nagreeka Capital & I,B,-0.97
Rajshree Sugars,B,-0.96
Signpost India,B,-0.95
GTPL Hathway,B,-0.95
Advait Energy Trans,B,-0.95
Digidrive Distributo,B,-0.94
ACME Solar Holdings,B,-0.94
Gandhar Oil Refinery,B,-0.93
Super Spinning,B,-0.91
Nelco Ltd,B,-0.90
Punjab Chemicals and,B,-0.90
Indo National,B,-0.90
Centum Electronics L,B,-0.90
Novartis,B,-0.89
Dhanuka Agritech Ltd,B,-0.88
Zee Media Corp,B,-0.87
Avalon Technologies,B,-0.87
Uniparts India,B,-0.85
Butterfly Gandhima,B,-0.82
